study,outcome,id,sex,age,age_error,age_sd,age_lower,age_upper,resource,units,raw_return,raw_sd,raw_se,adult_return,adult_sd,adult_se,pooled,resource_cat,scaled_return,scaled_se
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_1,0.461538461538462,5,none,NA,NA,NA,game,kcal/h,607.1713147410358,NA,NA,1102.1,3164.687148834779,276.5,0,game,0.577272727272727,NA
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_2,0.461538461538462,5,none,NA,NA,NA,game,kcal/h,678.8844621513944,NA,NA,1102.1,3164.687148834779,276.5,0,game,0.6454545454545453,NA
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_3,0.461538461538462,6,none,NA,NA,NA,game,kcal/h,674.1035856573704,NA,NA,1102.1,3164.687148834779,276.5,0,game,0.6409090909090908,NA
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_4,0.461538461538462,6,none,NA,NA,NA,game,kcal/h,148.207171314741,NA,NA,1102.1,3164.687148834779,276.5,0,game,0.14090909090909087,NA
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_5,0.461538461538462,7,none,NA,NA,NA,game,kcal/h,951.3944223107574,NA,NA,1102.1,3164.687148834779,276.5,0,game,0.9045454545454548,NA
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_6,0.461538461538462,7,none,NA,NA,NA,game,kcal/h,439.8406374501992,NA,NA,1102.1,3164.687148834779,276.5,0,game,0.41818181818181815,NA
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_7,0.461538461538462,7,none,NA,NA,NA,game,kcal/h,219.9203187250995,NA,NA,1102.1,3164.687148834779,276.5,0,game,0.20909090909090897,NA
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_8,0.461538461538462,7,none,NA,NA,NA,game,kcal/h,0,NA,NA,1102.1,3164.687148834779,276.5,0,game,0,NA
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_9,0.461538461538462,8,none,NA,NA,NA,game,kcal/h,0,NA,NA,1102.1,3164.687148834779,276.5,0,game,0,NA
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_10,0.461538461538462,8,none,NA,NA,NA,game,kcal/h,420.71713147410367,NA,NA,1102.1,3164.687148834779,276.5,0,game,0.4,NA
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_11,0.461538461538462,10,none,NA,NA,NA,game,kcal/h,0,NA,NA,1102.1,3164.687148834779,276.5,0,game,0,NA
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_12,0.461538461538462,11,none,NA,NA,NA,game,kcal/h,0,NA,NA,1102.1,3164.687148834779,276.5,0,game,0,NA
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_13,0.461538461538462,10,none,NA,NA,NA,game,kcal/h,511.5537848605578,NA,NA,1102.1,3164.687148834779,276.5,0,game,0.48636363636363633,NA
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_14,0.461538461538462,10,none,NA,NA,NA,game,kcal/h,698.00796812749,NA,NA,1102.1,3164.687148834779,276.5,0,game,0.6636363636363635,NA
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_15,0.461538461538462,11,none,NA,NA,NA,game,kcal/h,798.4063745019921,NA,NA,1102.1,3164.687148834779,276.5,0,game,0.759090909090909,NA
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_16,0.461538461538462,12,none,NA,NA,NA,game,kcal/h,1051.792828685259,NA,NA,1102.1,3164.687148834779,276.5,0,game,1,NA
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_17,0.461538461538462,11,none,NA,NA,NA,game,kcal/h,415.93625498007975,NA,NA,1102.1,3164.687148834779,276.5,0,game,0.39545454545454545,NA
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_18,0.461538461538462,12,none,NA,NA,NA,game,kcal/h,444.621513944223,NA,NA,1102.1,3164.687148834779,276.5,0,game,0.42272727272727256,NA
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_19,0.461538461538462,13,none,NA,NA,NA,game,kcal/h,334.6613545816733,NA,NA,1102.1,3164.687148834779,276.5,0,game,0.3181818181818182,NA
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_20,0.461538461538462,13,none,NA,NA,NA,game,kcal/h,492.43027888446204,NA,NA,1102.1,3164.687148834779,276.5,0,game,0.46818181818181803,NA
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_21,0.461538461538462,14,none,NA,NA,NA,game,kcal/h,726.6932270916335,NA,NA,1102.1,3164.687148834779,276.5,0,game,0.6909090909090908,NA
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_22,0.461538461538462,13,none,NA,NA,NA,game,kcal/h,850.9960159362552,NA,NA,1102.1,3164.687148834779,276.5,0,game,0.8090909090909092,NA
BliegeBird_1995,BliegeBird_1995_table3_intertidal total weight (g/h),BliegeBird_1995_table3_1,1,14,NA,NA,NA,NA,shellfish,g/h,329.88235294117646,NA,NA,NA,NA,NA,0,fish_shellfish,0.782241351825283,NA
BliegeBird_1995,BliegeBird_1995_table3_eggs total weight (g/h),BliegeBird_1995_table3_1,1,14,NA,NA,NA,NA,eggs,g/h,0,NA,NA,NA,NA,NA,0,z,0,NA
BliegeBird_1995,BliegeBird_1995_table3_average returns (kcal/observation day),BliegeBird_1995_table3_1,1,14,NA,NA,NA,NA,mixed,kcal/day,600,NA,NA,NA,NA,NA,0,z,0.16,NA
BliegeBird_1995,BliegeBird_1995_table3_intertidal total weight (g/h),BliegeBird_1995_table3_2,1,13,NA,NA,NA,NA,shellfish,g/h,126.144578313253,NA,NA,NA,NA,NA,0,fish_shellfish,0.29912332255852675,NA
BliegeBird_1995,BliegeBird_1995_table3_fruit total weight (g/h),BliegeBird_1995_table3_2,1,13,NA,NA,NA,NA,fruit,g/h,1584,NA,NA,NA,NA,NA,0,fruit,0.4786689419795222,NA
BliegeBird_1995,BliegeBird_1995_table3_eggs total weight (g/h),BliegeBird_1995_table3_2,1,13,NA,NA,NA,NA,eggs,g/h,2333.3333333333335,NA,NA,NA,NA,NA,0,z,1,NA
BliegeBird_1995,BliegeBird_1995_table3_average returns (kcal/observation day),BliegeBird_1995_table3_2,1,13,NA,NA,NA,NA,mixed,kcal/day,3750,NA,NA,NA,NA,NA,0,z,1,NA
BliegeBird_1995,BliegeBird_1995_table3_intertidal total weight (g/h),BliegeBird_1995_table3_3,1,12,NA,NA,NA,NA,shellfish,g/h,103.92609699769054,NA,NA,NA,NA,NA,0,fish_shellfish,0.24643722187799247,NA
BliegeBird_1995,BliegeBird_1995_table3_average returns (kcal/observation day),BliegeBird_1995_table3_3,1,12,NA,NA,NA,NA,mixed,kcal/day,950,NA,NA,NA,NA,NA,0,z,0.25333333333333335,NA
BliegeBird_1995,BliegeBird_1995_table3_intertidal total weight (g/h),BliegeBird_1995_table3_4,1,11,NA,NA,NA,NA,shellfish,g/h,357.98507462686564,NA,NA,NA,NA,NA,0,fish_shellfish,0.8488805970149252,NA
BliegeBird_1995,BliegeBird_1995_table3_fruit total weight (g/h),BliegeBird_1995_table3_4,1,11,NA,NA,NA,NA,fruit,g/h,1261.5384615384614,NA,NA,NA,NA,NA,0,fruit,0.3812242933403343,NA
BliegeBird_1995,BliegeBird_1995_table3_average returns (kcal/observation day),BliegeBird_1995_table3_4,1,11,NA,NA,NA,NA,mixed,kcal/day,704,NA,NA,NA,NA,NA,0,z,0.18773333333333334,NA
BliegeBird_1995,BliegeBird_1995_table3_intertidal total weight (g/h),BliegeBird_1995_table3_5,1,7,NA,NA,NA,NA,shellfish,g/h,187.33333333333334,NA,NA,NA,NA,NA,0,fish_shellfish,0.4442186088527552,NA
