study,outcome,id,sex,age,age_error,age_sd,age_lower,age_upper,resource,units,raw_return,raw_sd,adult_return,adult_sd,adult_se
Bird_2005,Bird_2005_fig6.2,NA,0.46153846153846156,5,none,NA,NA,NA,lizards,kcal/hr,611.4285714285713,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,NA,0.46153846153846156,5,none,NA,NA,NA,lizards,kcal/hr,674.2857142857142,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,NA,0.46153846153846156,6,none,NA,NA,NA,lizards,kcal/hr,674.2857142857142,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,NA,0.46153846153846156,6,none,NA,NA,NA,lizards,kcal/hr,151.42857142857133,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,NA,0.46153846153846156,7,none,NA,NA,NA,lizards,kcal/hr,225.7142857142856,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,NA,0.46153846153846156,7,none,NA,NA,NA,lizards,kcal/hr,0,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,NA,0.46153846153846156,7,none,NA,NA,NA,lizards,kcal/hr,439.99999999999983,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,NA,0.46153846153846156,7,none,NA,NA,NA,lizards,kcal/hr,951.4285714285713,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,NA,0.46153846153846156,8,none,NA,NA,NA,lizards,kcal/hr,425.7142857142856,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,NA,0.46153846153846156,8,none,NA,NA,NA,lizards,kcal/hr,0,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,NA,0.46153846153846156,10,none,NA,NA,NA,lizards,kcal/hr,0,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,NA,0.46153846153846156,10,none,NA,NA,NA,lizards,kcal/hr,511.4285714285713,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,NA,0.46153846153846156,10,none,NA,NA,NA,lizards,kcal/hr,700,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,NA,0.46153846153846156,11,none,NA,NA,NA,lizards,kcal/hr,800,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,NA,0.46153846153846156,11,none,NA,NA,NA,lizards,kcal/hr,417.14285714285694,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,NA,0.46153846153846156,11,none,NA,NA,NA,lizards,kcal/hr,0,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,NA,0.46153846153846156,12,none,NA,NA,NA,lizards,kcal/hr,1054.2857142857142,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,NA,0.46153846153846156,12,none,NA,NA,NA,lizards,kcal/hr,445.7142857142855,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,NA,0.46153846153846156,13,none,NA,NA,NA,lizards,kcal/hr,497.14285714285705,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,NA,0.46153846153846156,13,none,NA,NA,NA,lizards,kcal/hr,334.2857142857143,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,NA,0.46153846153846156,14,none,NA,NA,NA,lizards,kcal/hr,728.5714285714284,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,NA,0.46153846153846156,13,none,NA,NA,NA,lizards,kcal/hr,851.4285714285713,NA,1102.1,3164.687148834779,276.5
