study,outcome,id,sex,age,age_error,age_sd,age_lower,age_upper,resource,units,raw_return,raw_sd,adult_return,adult_sd,adult_se
BliegeBird_1995,BliegeBird_1995_intertidal total weight (g/h),BliegeBird_1995_intertidal total weight (g/h)_1,m,14,NA,NA,NA,NA,shellfish,g/h,329.88235294117646,NA,NA,NA,NA
BliegeBird_1995,BliegeBird_1995_eggs total weight (g/h),BliegeBird_1995_eggs total weight (g/h)_1,m,14,NA,NA,NA,NA,eggs,g/h,0,NA,NA,NA,NA
BliegeBird_1995,BliegeBird_1995_average returns (kcal/observation day),BliegeBird_1995_average returns (kcal/observation day)_1,m,14,NA,NA,NA,NA,mixed,kcal/observation day,600,NA,NA,NA,NA
BliegeBird_1995,BliegeBird_1995_intertidal total weight (g/h),BliegeBird_1995_intertidal total weight (g/h)_2,m,13,NA,NA,NA,NA,shellfish,g/h,126.144578313253,NA,NA,NA,NA
BliegeBird_1995,BliegeBird_1995_fruit total weight (g/h),BliegeBird_1995_fruit total weight (g/h)_2,m,13,NA,NA,NA,NA,fruit,g/h,1584,NA,NA,NA,NA
BliegeBird_1995,BliegeBird_1995_eggs total weight (g/h),BliegeBird_1995_eggs total weight (g/h)_2,m,13,NA,NA,NA,NA,eggs,g/h,15750,NA,NA,NA,NA
BliegeBird_1995,BliegeBird_1995_average returns (kcal/observation day),BliegeBird_1995_average returns (kcal/observation day)_2,m,13,NA,NA,NA,NA,mixed,kcal/observation day,3750,NA,NA,NA,NA
BliegeBird_1995,BliegeBird_1995_intertidal total weight (g/h),BliegeBird_1995_intertidal total weight (g/h)_3,m,12,NA,NA,NA,NA,shellfish,g/h,103.92609699769054,NA,NA,NA,NA
BliegeBird_1995,BliegeBird_1995_average returns (kcal/observation day),BliegeBird_1995_average returns (kcal/observation day)_3,m,12,NA,NA,NA,NA,mixed,kcal/observation day,950,NA,NA,NA,NA
BliegeBird_1995,BliegeBird_1995_intertidal total weight (g/h),BliegeBird_1995_intertidal total weight (g/h)_4,m,11,NA,NA,NA,NA,shellfish,g/h,357.98507462686564,NA,NA,NA,NA
BliegeBird_1995,BliegeBird_1995_fruit total weight (g/h),BliegeBird_1995_fruit total weight (g/h)_4,m,11,NA,NA,NA,NA,fruit,g/h,1261.5384615384614,NA,NA,NA,NA
BliegeBird_1995,BliegeBird_1995_average returns (kcal/observation day),BliegeBird_1995_average returns (kcal/observation day)_4,m,11,NA,NA,NA,NA,mixed,kcal/observation day,704,NA,NA,NA,NA
BliegeBird_1995,BliegeBird_1995_intertidal total weight (g/h),BliegeBird_1995_intertidal total weight (g/h)_5,m,7,NA,NA,NA,NA,shellfish,g/h,187.33333333333334,NA,NA,NA,NA
BliegeBird_1995,BliegeBird_1995_fruit total weight (g/h),BliegeBird_1995_fruit total weight (g/h)_5,m,7,NA,NA,NA,NA,fruit,g/h,204.70588235294116,NA,NA,NA,NA
BliegeBird_1995,BliegeBird_1995_eggs total weight (g/h),BliegeBird_1995_eggs total weight (g/h)_5,m,7,NA,NA,NA,NA,eggs,g/h,4615.384615384615,NA,NA,NA,NA
BliegeBird_1995,BliegeBird_1995_average returns (kcal/observation day),BliegeBird_1995_average returns (kcal/observation day)_5,m,7,NA,NA,NA,NA,mixed,kcal/observation day,771,NA,NA,NA,NA
BliegeBird_1995,BliegeBird_1995_average returns (kcal/observation day),BliegeBird_1995_average returns (kcal/observation day)_6,m,9,NA,NA,NA,NA,mixed,kcal/observation day,495,NA,NA,NA,NA
