study,outcome,id,sex,age,age_error,age_sd,age_lower,age_upper,resource,units,raw_return,raw_sd,adult_return,adult_sd,adult_se
BliegeBird_2002a,BliegeBird_2002a_1,BliegeBird_2002a_1_1,NA,4,NA,NA,NA,NA,shellfish,net kcal/hr,-511.87739463601537,NA,75.07002801120441,371.71335170753196,71.53626788990721
BliegeBird_2002a,BliegeBird_2002a_1,BliegeBird_2002a_1_2,NA,6,NA,NA,NA,NA,shellfish,net kcal/hr,-435.24904214559393,NA,75.07002801120441,371.71335170753196,71.53626788990721
BliegeBird_2002a,BliegeBird_2002a_1,BliegeBird_2002a_1_3,NA,8,NA,NA,NA,NA,shellfish,net kcal/hr,-481.2260536398468,NA,75.07002801120441,371.71335170753196,71.53626788990721
BliegeBird_2002a,BliegeBird_2002a_1,BliegeBird_2002a_1_4,NA,11,NA,NA,NA,NA,shellfish,net kcal/hr,-477.3946360153257,NA,75.07002801120441,371.71335170753196,71.53626788990721
BliegeBird_2002a,BliegeBird_2002a_1,BliegeBird_2002a_1_5,NA,12,NA,NA,NA,NA,shellfish,net kcal/hr,-508.04597701149424,NA,75.07002801120441,371.71335170753196,71.53626788990721
BliegeBird_2002a,BliegeBird_2002a_1,BliegeBird_2002a_1_6,NA,13,NA,NA,NA,NA,shellfish,net kcal/hr,-477.3946360153257,NA,75.07002801120441,371.71335170753196,71.53626788990721
BliegeBird_2002a,BliegeBird_2002a_1,BliegeBird_2002a_1_7,NA,14,NA,NA,NA,NA,shellfish,net kcal/hr,-504.21455938697324,NA,75.07002801120441,371.71335170753196,71.53626788990721
BliegeBird_2002a,BliegeBird_2002a_1,BliegeBird_2002a_1_8,NA,12,NA,NA,NA,NA,shellfish,net kcal/hr,-236.0153256704981,NA,75.07002801120441,371.71335170753196,71.53626788990721
BliegeBird_2002a,BliegeBird_2002a_1,BliegeBird_2002a_1_9,NA,12,NA,NA,NA,NA,shellfish,net kcal/hr,-105.74712643678163,NA,75.07002801120441,371.71335170753196,71.53626788990721
BliegeBird_2002a,BliegeBird_2002a_1,BliegeBird_2002a_1_10,NA,15,NA,NA,NA,NA,shellfish,net kcal/hr,-52.107279693486475,NA,75.07002801120441,371.71335170753196,71.53626788990721
BliegeBird_2002a,BliegeBird_2002a_1,BliegeBird_2002a_1_11,NA,18,NA,NA,NA,NA,shellfish,net kcal/hr,16.858237547892827,NA,75.07002801120441,371.71335170753196,71.53626788990721
BliegeBird_2002a,BliegeBird_2002a_1,BliegeBird_2002a_1_12,NA,11,NA,NA,NA,NA,shellfish,net kcal/hr,24.52107279693496,NA,75.07002801120441,371.71335170753196,71.53626788990721
BliegeBird_2002a,BliegeBird_2002a_1,BliegeBird_2002a_1_13,NA,11,NA,NA,NA,NA,shellfish,net kcal/hr,262.0689655172414,NA,75.07002801120441,371.71335170753196,71.53626788990721
BliegeBird_2002a,BliegeBird_2002a_1,BliegeBird_2002a_1_14,NA,11,NA,NA,NA,NA,shellfish,net kcal/hr,334.8659003831417,NA,75.07002801120441,371.71335170753196,71.53626788990721
