study,outcome,id,sex,age,age_error,age_sd,age_lower,age_upper,resource,units,raw_return,raw_sd,adult_return,adult_sd,adult_se
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_1,NA,1.75,NA,NA,NA,NA,tubers,g/h,23,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_1,NA,1.75,NA,NA,NA,NA,honey,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_1,NA,1.75,NA,NA,NA,NA,fruit,g/h,0,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_2,NA,2.5,NA,NA,NA,NA,tubers,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_2,NA,2.5,NA,NA,NA,NA,honey,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_2,NA,2.5,NA,NA,NA,NA,fruit,g/h,0,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_3,NA,2.5,NA,NA,NA,NA,tubers,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_3,NA,2.5,NA,NA,NA,NA,honey,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_3,NA,2.5,NA,NA,NA,NA,fruit,g/h,351,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_4,NA,3,NA,NA,NA,NA,tubers,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_4,NA,3,NA,NA,NA,NA,honey,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_4,NA,3,NA,NA,NA,NA,fruit,g/h,661,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_5,NA,4.5,NA,NA,NA,NA,tubers,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_5,NA,4.5,NA,NA,NA,NA,honey,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_5,NA,4.5,NA,NA,NA,NA,fruit,g/h,247,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_6,NA,5.5,NA,NA,NA,NA,tubers,g/h,205,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_6,NA,5.5,NA,NA,NA,NA,honey,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_6,NA,5.5,NA,NA,NA,NA,fruit,g/h,451,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_7,NA,7,NA,NA,NA,NA,tubers,g/h,160,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_7,NA,7,NA,NA,NA,NA,honey,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_7,NA,7,NA,NA,NA,NA,fruit,g/h,712,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_8,NA,8,NA,NA,NA,NA,tubers,g/h,221,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_8,NA,8,NA,NA,NA,NA,honey,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_8,NA,8,NA,NA,NA,NA,fruit,g/h,721,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_9,NA,8,NA,NA,NA,NA,tubers,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_9,NA,8,NA,NA,NA,NA,honey,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_9,NA,8,NA,NA,NA,NA,fruit,g/h,721,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_10,NA,9,NA,NA,NA,NA,tubers,g/h,392,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_10,NA,9,NA,NA,NA,NA,honey,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_10,NA,9,NA,NA,NA,NA,fruit,g/h,415,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_11,NA,10,NA,NA,NA,NA,tubers,g/h,414,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_11,NA,10,NA,NA,NA,NA,honey,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_11,NA,10,NA,NA,NA,NA,fruit,g/h,465,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_12,NA,10,NA,NA,NA,NA,tubers,g/h,348,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_12,NA,10,NA,NA,NA,NA,honey,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_12,NA,10,NA,NA,NA,NA,fruit,g/h,405,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_13,NA,10,NA,NA,NA,NA,tubers,g/h,617,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_13,NA,10,NA,NA,NA,NA,honey,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_13,NA,10,NA,NA,NA,NA,fruit,g/h,412,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_14,NA,11,NA,NA,NA,NA,tubers,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_14,NA,11,NA,NA,NA,NA,honey,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_14,NA,11,NA,NA,NA,NA,fruit,g/h,681,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_15,NA,12,NA,NA,NA,NA,tubers,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_15,NA,12,NA,NA,NA,NA,honey,g/h,54,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_15,NA,12,NA,NA,NA,NA,fruit,g/h,726,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_16,NA,13,NA,NA,NA,NA,tubers,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_16,NA,13,NA,NA,NA,NA,honey,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_16,NA,13,NA,NA,NA,NA,fruit,g/h,901,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_17,NA,13,NA,NA,NA,NA,tubers,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_17,NA,13,NA,NA,NA,NA,honey,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_17,NA,13,NA,NA,NA,NA,fruit,g/h,842,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_18,NA,13,NA,NA,NA,NA,tubers,g/h,NA,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_18,NA,13,NA,NA,NA,NA,honey,g/h,102,NA,NA,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_18,NA,13,NA,NA,NA,NA,fruit,g/h,1015,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_1,BlurtonJones_1989_1_19,NA,14,NA,NA,NA,NA,tubers,g/h,3922,NA,NA,NA,NA
