study,outcome,id,sex,age,age_error,age_sd,age_lower,age_upper,resource,units,raw_return,raw_sd,adult_return,adult_sd,adult_se
BlurtonJones_2002,BlurtonJones_2002_f4_experimental,BlurtonJones_2002_f4_experimental__1,female,7.160839160839167,NA,NA,NA,NA,tubers,g/h,0,NA,1756.5789473684208,919.1962331530498,187.63014539277754
BlurtonJones_2002,BlurtonJones_2002_f4_experimental,BlurtonJones_2002_f4_experimental__2,female,8.951048951048957,NA,NA,NA,NA,tubers,g/h,431.57894736842064,NA,1756.5789473684208,919.1962331530498,187.63014539277754
BlurtonJones_2002,BlurtonJones_2002_f4_experimental,BlurtonJones_2002_f4_experimental__3,female,10.96503496503497,NA,NA,NA,NA,tubers,g/h,199.99999999999974,NA,1756.5789473684208,919.1962331530498,187.63014539277754
BlurtonJones_2002,BlurtonJones_2002_f4_experimental,BlurtonJones_2002_f4_experimental__4,female,11.076923076923084,NA,NA,NA,NA,tubers,g/h,0,NA,1756.5789473684208,919.1962331530498,187.63014539277754
BlurtonJones_2002,BlurtonJones_2002_f4_experimental,BlurtonJones_2002_f4_experimental__5,female,13.090909090909093,NA,NA,NA,NA,tubers,g/h,0,NA,1756.5789473684208,919.1962331530498,187.63014539277754
BlurtonJones_2002,BlurtonJones_2002_f4_experimental,BlurtonJones_2002_f4_experimental__6,female,14.545454545454547,NA,NA,NA,NA,tubers,g/h,0,NA,1756.5789473684208,919.1962331530498,187.63014539277754
BlurtonJones_2002,BlurtonJones_2002_f4_experimental,BlurtonJones_2002_f4_experimental__7,female,12.867132867132867,NA,NA,NA,NA,tubers,g/h,599.9999999999997,NA,1756.5789473684208,919.1962331530498,187.63014539277754
BlurtonJones_2002,BlurtonJones_2002_f4_experimental,BlurtonJones_2002_f4_experimental__8,female,14.209790209790214,NA,NA,NA,NA,tubers,g/h,684.2105263157894,NA,1756.5789473684208,919.1962331530498,187.63014539277754
BlurtonJones_2002,BlurtonJones_2002_f4_experimental,BlurtonJones_2002_f4_experimental__9,female,18.23776223776224,NA,NA,NA,NA,tubers,g/h,336.84210526315763,NA,1756.5789473684208,919.1962331530498,187.63014539277754
BlurtonJones_2002,BlurtonJones_2002_f4_experimental,BlurtonJones_2002_f4_experimental__10,female,16.223776223776227,NA,NA,NA,NA,tubers,g/h,1189.4736842105256,NA,1756.5789473684208,919.1962331530498,187.63014539277754
BlurtonJones_2002,BlurtonJones_2002_f4_experimental,BlurtonJones_2002_f4_experimental__11,female,16,NA,NA,NA,NA,tubers,g/h,1315.7894736842102,NA,1756.5789473684208,919.1962331530498,187.63014539277754
BlurtonJones_2002,BlurtonJones_2002_f4_experimental,BlurtonJones_2002_f4_experimental__12,female,14.993006993006993,NA,NA,NA,NA,tubers,g/h,1831.578947368421,NA,1756.5789473684208,919.1962331530498,187.63014539277754
BlurtonJones_2002,BlurtonJones_2002_f4_experimental,BlurtonJones_2002_f4_experimental__13,female,19.13286713286714,NA,NA,NA,NA,tubers,g/h,3168.42105263158,NA,1756.5789473684208,919.1962331530498,187.63014539277754
BlurtonJones_2002,BlurtonJones_2002_f4_experimental,BlurtonJones_2002_f4_experimental__38,male,6.041958041958047,NA,NA,NA,NA,tubers,g/h,147.36842105263116,NA,1709.0909090909092,644.2461759532766,194.24753075075492
BlurtonJones_2002,BlurtonJones_2002_f4_experimental,BlurtonJones_2002_f4_experimental__39,male,9.06293706293707,NA,NA,NA,NA,tubers,g/h,157.89473684210532,NA,1709.0909090909092,644.2461759532766,194.24753075075492
BlurtonJones_2002,BlurtonJones_2002_f4_experimental,BlurtonJones_2002_f4_experimental__40,male,9.958041958041964,NA,NA,NA,NA,tubers,g/h,52.63157894736814,NA,1709.0909090909092,644.2461759532766,194.24753075075492
BlurtonJones_2002,BlurtonJones_2002_f4_experimental,BlurtonJones_2002_f4_experimental__41,male,11.972027972027977,NA,NA,NA,NA,tubers,g/h,305.2631578947369,NA,1709.0909090909092,644.2461759532766,194.24753075075492
BlurtonJones_2002,BlurtonJones_2002_f4_experimental,BlurtonJones_2002_f4_experimental__42,male,13.874125874125873,NA,NA,NA,NA,tubers,g/h,1189.4736842105256,NA,1709.0909090909092,644.2461759532766,194.24753075075492
BlurtonJones_2002,BlurtonJones_2002_f4_experimental,BlurtonJones_2002_f4_experimental__43,male,17.790209790209794,NA,NA,NA,NA,tubers,g/h,484.2105263157892,NA,1709.0909090909092,644.2461759532766,194.24753075075492
BlurtonJones_2002,BlurtonJones_2002_f4_experimental,BlurtonJones_2002_f4_experimental__44,male,18.013986013986013,NA,NA,NA,NA,tubers,g/h,1663.1578947368423,NA,1709.0909090909092,644.2461759532766,194.24753075075492
BlurtonJones_2002,BlurtonJones_2002_f4_experimental,BlurtonJones_2002_f4_experimental__45,male,17.11888111888112,NA,NA,NA,NA,tubers,g/h,2294.736842105263,NA,1709.0909090909092,644.2461759532766,194.24753075075492
BlurtonJones_2002,BlurtonJones_2002_f4_experimental,BlurtonJones_2002_f4_experimental__46,male,19.804195804195807,NA,NA,NA,NA,tubers,g/h,768.4210526315786,NA,1709.0909090909092,644.2461759532766,194.24753075075492
BlurtonJones_2002,BlurtonJones_2002_f4_experimental,BlurtonJones_2002_f4_experimental__47,male,19.804195804195807,NA,NA,NA,NA,tubers,g/h,1115.7894736842109,NA,1709.0909090909092,644.2461759532766,194.24753075075492
BlurtonJones_2002,BlurtonJones_2002_f4_experimental,BlurtonJones_2002_f4_experimental__48,male,18.7972027972028,NA,NA,NA,NA,tubers,g/h,1189.4736842105256,NA,1709.0909090909092,644.2461759532766,194.24753075075492
