study,outcome,id,sex,age,age_error,age_sd,age_lower,age_upper,resource,units,raw_return,raw_sd,adult_return,adult_sd,adult_se
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_1,female,5,NA,NA,NA,NA,fish,kcal/h,40.55688326658397,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_2,female,6,NA,NA,NA,NA,fish,kcal/h,54.70360970753612,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_3,female,8,NA,NA,NA,NA,fish,kcal/h,36.78442288233006,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_4,female,9,NA,NA,NA,NA,fish,kcal/h,0,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_5,female,8,NA,NA,NA,NA,fish,kcal/h,65.07787576423436,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_6,female,11,NA,NA,NA,NA,fish,kcal/h,36.78442288233006,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_7,female,10,NA,NA,NA,NA,fish,kcal/h,76.7096286156839,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_8,female,10,NA,NA,NA,NA,fish,kcal/h,90.22761165926042,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_9,female,11,NA,NA,NA,NA,fish,kcal/h,78.59585880781088,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_10,female,11,NA,NA,NA,NA,fish,kcal/h,123.23664002148206,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_11,female,12,NA,NA,NA,NA,fish,kcal/h,160.64687216533335,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_12,female,14,NA,NA,NA,NA,fish,kcal/h,128.2665872004873,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_13,female,14,NA,NA,NA,NA,fish,kcal/h,107.5180550870908,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_14,female,14,NA,NA,NA,NA,fish,kcal/h,60.676671982604816,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_15,female,14,NA,NA,NA,NA,fish,kcal/h,47.78743233640395,NA,NA,NA,NA
