study,outcome,id,sex,age,age_error,age_sd,age_lower,age_upper,resource,units,raw_return,raw_sd,adult_return,adult_sd,adult_se
Crittenden_2013,Crittenden_2013_f3,Crittenden_2013_f3_m1,male,9,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,39.370078740157624,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_f3,Crittenden_2013_f3_m2,male,12,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,14.763779527559109,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_f3,Crittenden_2013_f3_m3,male,13,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,93.50393700787401,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_f3,Crittenden_2013_f3_m4,male,13,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,147.63779527559063,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_f3,Crittenden_2013_f3_m5,male,11,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,187.00787401574826,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_f3,Crittenden_2013_f3_m6,male,10,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,413.38582677165346,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_f3,Crittenden_2013_f3_m7,male,11,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,600.3937007874017,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_f3,Crittenden_2013_f3_m8,male,10,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,629.9212598425197,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_f3,Crittenden_2013_f3_m9,male,3,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,487.2047244094488,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_f3,Crittenden_2013_f3_m10,male,6,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,984.251968503937,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_f3,Crittenden_2013_f3_m11,male,12,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,900.5905511811022,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_f3,Crittenden_2013_f3_m12,male,14,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,679.1338582677165,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_f3,Crittenden_2013_f3_m13,male,17,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,944.8818897637796,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_f3,Crittenden_2013_f3_m14,male,10,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,1358.2677165354332,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_f3,Crittenden_2013_f3_f15,female,7,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,1338.5826771653544,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_f3,Crittenden_2013_f3_f16,female,10,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,1136.811023622047,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_f3,Crittenden_2013_f3_f17,female,6,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,1033.464566929134,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_f3,Crittenden_2013_f3_f18,female,5,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,954.7244094488187,NA,NA,NA,NA
