study,outcome,id,sex,age,age_error,age_sd,age_lower,age_upper,resource,units,raw_return,raw_sd,adult_return,adult_sd,adult_se
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_m1,male,3,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,480,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_f2,female,5,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,253,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_f3,female,5,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,9,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_f4,female,5,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,958,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_f5,female,5,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,588,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_f6,female,6,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,125,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_f7,female,6,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,113,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_f8,female,6,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,27,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_f9,female,6,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,1035,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_m10,male,6,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,987,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_f11,female,7,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,1345,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_f12,female,8,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,136,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_f13,female,8,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,737,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_m14,male,9,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,37,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_f15,female,9,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,267,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_f16,female,9,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,587,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_m17,male,10,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,1363,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_m18,male,10,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,632,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_f19,female,10,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,560,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_m20,male,10,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,415,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_f21,female,10,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,1139,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_m22,male,11,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,598,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_m23,male,11,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,190,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_m24,male,12,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,901,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_m25,male,12,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,11,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_m26,male,13,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,93,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_m27,male,13,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,151,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_m28,male,14,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,677,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_f29,female,14,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,363,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_f30,female,15,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,418,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_f31,female,16,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,369,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_f32,female,16,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,324,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_m33,male,17,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,952,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_t1,Crittenden_2013_t1_f34,female,17,NA,NA,NA,NA,fruit;birds;tubers;honey;small_game;vegetables,tot kcal/day,472,NA,NA,NA,NA
