study,outcome,id,sex,age,age_error,age_sd,age_lower,age_upper,resource,units,raw_return,raw_sd,adult_return,adult_sd,adult_se
Gurven_2006,Gurven_2006_fig6a,Gurven_2006_fig6a_1,male,6.74285714285714,NA,NA,NA,NA,game,kcal/h,0,NA,1127.1368929905514,787.7617455643526,129.5072332086801
Gurven_2006,Gurven_2006_fig6a,Gurven_2006_fig6a_2,male,10.971428571428572,NA,NA,NA,NA,game,kcal/h,318.6991869918696,NA,1127.1368929905514,787.7617455643526,129.5072332086801
Gurven_2006,Gurven_2006_fig6a,Gurven_2006_fig6a_3,male,11.885714285714279,NA,NA,NA,NA,game,kcal/h,156.09756097560944,NA,1127.1368929905514,787.7617455643526,129.5072332086801
Gurven_2006,Gurven_2006_fig6a,Gurven_2006_fig6a_4,male,12.79999999999999,NA,NA,NA,NA,game,kcal/h,845.5284552845529,NA,1127.1368929905514,787.7617455643526,129.5072332086801
Gurven_2006,Gurven_2006_fig6a,Gurven_2006_fig6a_5,male,12.914285714285707,NA,NA,NA,NA,game,kcal/h,0,NA,1127.1368929905514,787.7617455643526,129.5072332086801
Gurven_2006,Gurven_2006_fig6a,Gurven_2006_fig6a_6,male,13.828571428571419,NA,NA,NA,NA,game,kcal/h,416.2601626016259,NA,1127.1368929905514,787.7617455643526,129.5072332086801
Gurven_2006,Gurven_2006_fig6a,Gurven_2006_fig6a_7,male,15.885714285714283,NA,NA,NA,NA,game,kcal/h,2783.739837398374,NA,1127.1368929905514,787.7617455643526,129.5072332086801
Gurven_2006,Gurven_2006_fig6a,Gurven_2006_fig6a_8,male,16.914285714285707,NA,NA,NA,NA,game,kcal/h,1112.1951219512193,NA,1127.1368929905514,787.7617455643526,129.5072332086801
Gurven_2006,Gurven_2006_fig6a,Gurven_2006_fig6a_9,male,17.828571428571433,NA,NA,NA,NA,game,kcal/h,318.6991869918696,NA,1127.1368929905514,787.7617455643526,129.5072332086801
Gurven_2006,Gurven_2006_fig6a,Gurven_2006_fig6a_10,male,18.85714285714285,NA,NA,NA,NA,game,kcal/h,767.4796747967479,NA,1127.1368929905514,787.7617455643526,129.5072332086801
Gurven_2006,Gurven_2006_fig6a,Gurven_2006_fig6a_11,male,19.885714285714283,NA,NA,NA,NA,game,kcal/h,793.4959349593497,NA,1127.1368929905514,787.7617455643526,129.5072332086801
Gurven_2006,Gurven_2006_fig6a,Gurven_2006_fig6a_12,male,19.885714285714283,NA,NA,NA,NA,game,kcal/h,136.58536585365835,NA,1127.1368929905514,787.7617455643526,129.5072332086801
