Child,mean_Makalita_rates_g/h,S.E._Makalita_rates_g/h,n_Makalita_rates_g/h,mean_ekwa_rates_g/h,S.E._ekwa_rates_g/h,n_ekwa_rates_g/h,mean_tin_measured_Tafabe_rates_g/h,S.E._tin_measured_Tafabe_rates_g/h,n_tin_measured_Tafabe_rates_g/h,mean_tin_measured_Ondishibe_rates_g/h,S.E._tin_measured_Ondishibe_rates_g/h,n_tin_measured_Ondishibe_rates_g/h,mean_Tafabe_stashing_rates_g/h,S.E._Tafabe_stashing_rates_g/h,n_Tafabe_stashing_rates_g/h,mean_Ondishibe_stashing_rates_g/h,S.E._Ondishibe_stashing_rates_g/h,n_Ondishibe_stashing_rates_g/h
208.00,39.00,6.00,2.00,42.00,NA,1.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209.00,67.00,42.00,2.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.00,353.00,74.00,2.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
306.00,259.00,7.00,7.00,117.00,34.00,4.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109.00,220.00,NA,1.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,1.00,NA,NA,NA
307.00,254.00,46.00,2.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,1.00,NA,NA,NA
308.00,480.00,NA,1.00,211.00,64.00,3.00,958.00,214.00,2.00,NA,NA,NA,52.00,24.00,4.00,NA,NA,NA
214.00,1158.00,269.00,5.00,270.00,117.00,3.00,600.00,NA,1.00,1088.00,569.00,2.00,188.00,55.00,2.00,400.00,NA,1.00
221.00,370.00,116.00,4.00,94.00,34.00,5.00,780.00,NA,1.00,NA,NA,22.00,236.00,22.00,2.00,800.00,NA,1.00
219.00,601.00,225.00,3.00,197.00,34.00,6.00,NA,NA,NA,NA,NA,NA,157.00,NA,1.00,62.00,62.00,3.00
216.00,NA,NA,NA,550.00,130.00,4.00,610.00,NA,1.00,1714.00,NA,1.00,288.00,37.00,3.00,487.00,NA,1.00
18.00,NA,NA,NA,529.00,30.00,2.00,978.00,88.00,3.00,1510.00,454.00,3.00,384.00,117.00,4.00,533.00,NA,1.00
311.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.00,17.00,3.00,NA,NA,NA
19.00,1100.00,NA,1.00,484.00,112.00,6.00,844.00,88.00,2.00,2040.00,NA,1.00,308.00,8.00,2.00,588.00,NA,1.00
122.00,NA,NA,NA,NA,NA,NA,1025.00,16.00,2.00,NA,NA,NA,32.00,32.00,3.00,0.00,NA,1.00
317.00,NA,NA,NA,229.00,86.00,3.00,923.00,22.00,2.00,NA,NA,NA,33.00,24.00,5.00,0.00,NA,1.00
119.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.00,29.00,2.00,0.00,NA,1.00
316.00,NA,NA,NA,271.00,NA,1.00,965.00,NA,1.00,977.00,NA,1.00,0.00,0.00,2.00,NA,NA,NA
125.00,NA,NA,NA,2145.00,NA,1.00,1248.00,24.00,4.00,2033.00,NA,1.00,217.00,28.00,4.00,NA,NA,NA
318.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.00,39.00,2.00,NA,NA,NA
