study,outcome,id,sex,age,age_error,age_sd,age_lower,age_upper,resource,units,raw_return,raw_sd,adult_return,adult_sd,adult_se
Hawkes_1995,Hawkes_1995_Makalita_rates_g.h,Hawkes_1995_Makalita_rates_g.h_208,female,3.5,NA,NA,NA,NA,tubers,g/h,39,8.485281374238571,NA,NA,NA
Hawkes_1995,Hawkes_1995_ekwa_rates_g.h,Hawkes_1995_ekwa_rates_g.h_208,female,3.5,NA,NA,NA,NA,tubers,g/h,42,NA,NA,NA,NA
Hawkes_1995,Hawkes_1995_Makalita_rates_g.h,Hawkes_1995_Makalita_rates_g.h_209,female,4,NA,NA,NA,NA,tubers,g/h,67,59.396969619669996,NA,NA,NA
Hawkes_1995,Hawkes_1995_Makalita_rates_g.h,Hawkes_1995_Makalita_rates_g.h_7,female,4,NA,NA,NA,NA,tubers,g/h,353,104.65180361560904,NA,NA,NA
Hawkes_1995,Hawkes_1995_Makalita_rates_g.h,Hawkes_1995_Makalita_rates_g.h_306,male,5,NA,NA,NA,NA,tubers,g/h,259,18.520259177452136,NA,NA,NA
Hawkes_1995,Hawkes_1995_ekwa_rates_g.h,Hawkes_1995_ekwa_rates_g.h_306,male,5,NA,NA,NA,NA,tubers,g/h,117,68,NA,NA,NA
Hawkes_1995,Hawkes_1995_Makalita_rates_g.h,Hawkes_1995_Makalita_rates_g.h_109,male,6.5,NA,NA,NA,NA,tubers,g/h,220,NA,NA,NA,NA
Hawkes_1995,Hawkes_1995_Tafabe_stashing_rates_g.h,Hawkes_1995_Tafabe_stashing_rates_g.h_109,male,6.5,NA,NA,NA,NA,fruits,g/h,0,NA,NA,NA,NA
Hawkes_1995,Hawkes_1995_Makalita_rates_g.h,Hawkes_1995_Makalita_rates_g.h_307,male,6.5,NA,NA,NA,NA,tubers,g/h,254,65.05382386916237,NA,NA,NA
Hawkes_1995,Hawkes_1995_Tafabe_stashing_rates_g.h,Hawkes_1995_Tafabe_stashing_rates_g.h_307,male,6.5,NA,NA,NA,NA,fruits,g/h,0,NA,NA,NA,NA
Hawkes_1995,Hawkes_1995_Makalita_rates_g.h,Hawkes_1995_Makalita_rates_g.h_308,male,8.2,NA,NA,NA,NA,tubers,g/h,480,NA,NA,NA,NA
Hawkes_1995,Hawkes_1995_ekwa_rates_g.h,Hawkes_1995_ekwa_rates_g.h_308,male,8.2,NA,NA,NA,NA,tubers,g/h,211,110.85125168440814,NA,NA,NA
Hawkes_1995,Hawkes_1995_tin_measured_Tafabe_rates_g.h,Hawkes_1995_tin_measured_Tafabe_rates_g.h_308,male,8.2,NA,NA,NA,NA,fruits,g/h,958,302.64170234784234,NA,NA,NA
Hawkes_1995,Hawkes_1995_Tafabe_stashing_rates_g.h,Hawkes_1995_Tafabe_stashing_rates_g.h_308,male,8.2,NA,NA,NA,NA,fruits,g/h,52,48,NA,NA,NA
Hawkes_1995,Hawkes_1995_Makalita_rates_g.h,Hawkes_1995_Makalita_rates_g.h_214,female,8.2,NA,NA,NA,NA,tubers,g/h,1158,601.5022859474435,NA,NA,NA
Hawkes_1995,Hawkes_1995_ekwa_rates_g.h,Hawkes_1995_ekwa_rates_g.h_214,female,8.2,NA,NA,NA,NA,tubers,g/h,270,202.64994448555862,NA,NA,NA
Hawkes_1995,Hawkes_1995_tin_measured_Tafabe_rates_g.h,Hawkes_1995_tin_measured_Tafabe_rates_g.h_214,female,8.2,NA,NA,NA,NA,fruits,g/h,600,NA,NA,NA,NA
Hawkes_1995,Hawkes_1995_tin_measured_Ondishibe_rates_g.h,Hawkes_1995_tin_measured_Ondishibe_rates_g.h_214,female,8.2,NA,NA,NA,NA,fruits,g/h,1088,804.6875169902911,NA,NA,NA
Hawkes_1995,Hawkes_1995_Tafabe_stashing_rates_g.h,Hawkes_1995_Tafabe_stashing_rates_g.h_214,female,8.2,NA,NA,NA,NA,fruits,g/h,188,77.78174593052023,NA,NA,NA
Hawkes_1995,Hawkes_1995_Ondishibe_stashing_rates_g.h,Hawkes_1995_Ondishibe_stashing_rates_g.h_214,female,8.2,NA,NA,NA,NA,fruits,g/h,400,NA,NA,NA,NA
Hawkes_1995,Hawkes_1995_Makalita_rates_g.h,Hawkes_1995_Makalita_rates_g.h_221,female,8.2,NA,NA,NA,NA,tubers,g/h,370,232,NA,NA,NA
Hawkes_1995,Hawkes_1995_ekwa_rates_g.h,Hawkes_1995_ekwa_rates_g.h_221,female,8.2,NA,NA,NA,NA,tubers,g/h,94,76.02631123499285,NA,NA,NA
Hawkes_1995,Hawkes_1995_tin_measured_Tafabe_rates_g.h,Hawkes_1995_tin_measured_Tafabe_rates_g.h_221,female,8.2,NA,NA,NA,NA,fruits,g/h,780,NA,NA,NA,NA
Hawkes_1995,Hawkes_1995_Tafabe_stashing_rates_g.h,Hawkes_1995_Tafabe_stashing_rates_g.h_221,female,8.2,NA,NA,NA,NA,fruits,g/h,236,31.112698372208094,NA,NA,NA
Hawkes_1995,Hawkes_1995_Ondishibe_stashing_rates_g.h,Hawkes_1995_Ondishibe_stashing_rates_g.h_221,female,8.2,NA,NA,NA,NA,fruits,g/h,800,NA,NA,NA,NA
