study,outcome,id,sex,age,age_error,age_sd,age_lower,age_upper,resource,timescale,lRR_mean,lRR_sd
Tucker_2017,Tucker_2017_1,Tucker_2017_1_f12,female,18.361813021415664,NA,NA,NA,NA,tubers;small_game;marine,hr,-1.3592068397527237,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_f12,female,18.361813021415664,NA,NA,NA,NA,tubers;small_game;marine,hr,-0.955002321297321,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_f12,female,18.361813021415664,NA,NA,NA,NA,tubers;small_game;marine,hr,-0.04022639760180861,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_f12,female,18.361813021415664,NA,NA,NA,NA,tubers;small_game;marine,hr,0.07497437343274611,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_f12,female,18.361813021415664,NA,NA,NA,NA,tubers;small_game;marine,hr,0.13729024373507298,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_f13,female,17.33076459963876,NA,NA,NA,NA,tubers;small_game;marine,hr,-0.9689530319447167,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_f13,female,17.33076459963876,NA,NA,NA,NA,tubers;small_game;marine,hr,-0.9412435582424138,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_f13,female,17.33076459963876,NA,NA,NA,NA,tubers;small_game;marine,hr,-0.710428441762472,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_f14,female,15.310467016427275,NA,NA,NA,NA,tubers;small_game;marine,hr,-1.104127239793481,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_f14,female,15.310467016427275,NA,NA,NA,NA,tubers;small_game;marine,hr,-0.4963998653497378,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_f15,female,14.2654855078696,NA,NA,NA,NA,tubers;small_game;marine,hr,-2.0908140210233848,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_f15,female,14.2654855078696,NA,NA,NA,NA,tubers;small_game;marine,hr,-1.8269454043971167,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_f16,female,12.259121011438886,NA,NA,NA,NA,tubers;small_game;marine,hr,-1.9316357739039345,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_f16,female,12.259121011438886,NA,NA,NA,NA,tubers;small_game;marine,hr,-1.3386646858579538,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_f16,female,12.259121011438886,NA,NA,NA,NA,tubers;small_game;marine,hr,-1.260472546566292,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_f16,female,12.259121011438886,NA,NA,NA,NA,tubers;small_game;marine,hr,-0.9276715323813288,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_f16,female,12.259121011438886,NA,NA,NA,NA,tubers;small_game;marine,hr,-0.4963998653497378,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_f17,female,9.221708093231266,NA,NA,NA,NA,tubers;small_game;marine,hr,-1.5161907309669698,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_f17,female,9.221708093231266,NA,NA,NA,NA,tubers;small_game;marine,hr,-1.380179839708356,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_f17,female,9.221708093231266,NA,NA,NA,NA,tubers;small_game;marine,hr,-1.2418438241068592,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_f18,female,7.410406811731308,NA,NA,NA,NA,tubers;small_game;marine,hr,-1.8606389316168337,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_f19,female,6.240027522146722,NA,NA,NA,NA,tubers;small_game;marine,hr,-1.8606389316168337,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_f21,female,1.307714801754532,NA,NA,NA,NA,tubers;small_game;marine,hr,-1.8606389316168337,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_m10,male,19.770450243961736,NA,NA,NA,NA,tubers;small_game;marine,hr,0.05865513703940256,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_m10,male,19.770450243961736,NA,NA,NA,NA,tubers;small_game;marine,hr,-0.5104097874097144,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_m11,male,18.762567067771013,NA,NA,NA,NA,tubers;small_game;marine,hr,-0.1278029288639132,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_m11,male,18.762567067771013,NA,NA,NA,NA,tubers;small_game;marine,hr,-0.5737001799194201,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_m11,male,18.762567067771013,NA,NA,NA,NA,tubers;small_game;marine,hr,-0.7062477183105678,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_m11,male,18.762567067771013,NA,NA,NA,NA,tubers;small_game;marine,hr,-2.019460388410371,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_m12,male,15.8997499609314,NA,NA,NA,NA,tubers;small_game;marine,hr,-0.10301386399824335,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_m12,male,15.8997499609314,NA,NA,NA,NA,tubers;small_game;marine,hr,-0.28121861962110684,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_m12,male,15.8997499609314,NA,NA,NA,NA,tubers;small_game;marine,hr,-0.5671878154765028,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_m12,male,15.8997499609314,NA,NA,NA,NA,tubers;small_game;marine,hr,-1.2862790338406223,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_m12,male,15.8997499609314,NA,NA,NA,NA,tubers;small_game;marine,hr,-1.2599806219476806,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_m12,male,15.8997499609314,NA,NA,NA,NA,tubers;small_game;marine,hr,-1.4447590318319758,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_m12,male,15.8997499609314,NA,NA,NA,NA,tubers;small_game;marine,hr,-1.5431109252007227,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_m12,male,15.8997499609314,NA,NA,NA,NA,tubers;small_game;marine,hr,-1.9921023459467142,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_m13,male,12.865378270910398,NA,NA,NA,NA,tubers;small_game;marine,hr,-0.8944729216236548,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_m14,male,10.7209459811429,NA,NA,NA,NA,tubers;small_game;marine,hr,-0.8504341248885604,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_m14,male,10.7209459811429,NA,NA,NA,NA,tubers;small_game;marine,hr,-1.0606194248970553,NA
Tucker_2017,Tucker_2017_1,Tucker_2017_1_m15,male,9.691618482054505,NA,NA,NA,NA,tubers;small_game;marine,hr,-0.9500146775298698,NA
