study,outcome,id,sex,age,age_error,age_sd,age_lower,age_upper,resource,units,lRR_mean,lRR_sd
Tucker_2005,Tucker_2005_1,Tucker_2005_1_f12,female,18.361813021415664,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-1.3374965329112816,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_f12,female,18.361813021415664,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-0.9332920144558788,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_f12,female,18.361813021415664,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-0.018516090760366408,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_f12,female,18.361813021415664,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,0.09668468027418847,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_f12,female,18.361813021415664,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,0.15900055057651533,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_f13,female,17.33076459963876,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-0.9472427251032746,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_f13,female,17.33076459963876,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-0.9195332514009715,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_f13,female,17.33076459963876,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-0.68871813492103,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_f14,female,15.310467016427275,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-1.0824169329520388,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_f14,female,15.310467016427275,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-0.4746895585082956,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_f15,female,14.2654855078696,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-2.069103714181942,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_f15,female,14.2654855078696,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-1.8052350975556746,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_f16,female,12.259121011438886,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-1.9099254670624923,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_f16,female,12.259121011438886,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-1.3169543790165117,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_f16,female,12.259121011438886,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-1.23876223972485,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_f16,female,12.259121011438886,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-0.9059612255398867,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_f16,female,12.259121011438886,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-0.4746895585082956,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_f17,female,9.221708093231266,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-1.4944804241255276,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_f17,female,9.221708093231266,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-1.3584695328669139,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_f17,female,9.221708093231266,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-1.220133517265417,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_f18,female,7.410406811731308,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-1.8389286247753915,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_f19,female,6.240027522146722,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-1.8389286247753915,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_f20,female,4.317261546400616,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,NaN,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_f21,female,1.307714801754532,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-1.8389286247753915,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_m10,male,19.770450243961736,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,0.05865513703940256,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_m10,male,19.770450243961736,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-0.5104097874097144,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_m11,male,18.762567067771013,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-0.1278029288639132,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_m11,male,18.762567067771013,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-0.5737001799194201,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_m11,male,18.762567067771013,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-0.7062477183105678,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_m11,male,18.762567067771013,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-2.019460388410371,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_m12,male,15.8997499609314,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-0.10301386399824335,NA
Tucker_2005,Tucker_2005_1,Tucker_2005_1_m12,male,15.8997499609314,NA,NA,NA,NA,tubers;small_game;marine,kcal/hr,-0.28121861962110684,NA
