Prey Type,n (loads processed),Mean e/h,SE,age
Tridacna gigas,4,13064.8,2375.3,adult
Hippopus,34,6858.9,464,adult
Tridacna spp.,16,4534.2,676.1,adult
Trochus (lg),4,3904,466.8,adult
Lambis,23,3411.9,205.6,adult
Cypraea,3,2214.4,239.2,adult
Trochus (sm),2,977.4,61.9,adult
Tridacna crocea,2,763.7,75,adult
Strombus,3,534.6,118.7,adult
Hippopus,12,3106.2,711.9,child
Tridacna spp.,9,1652,142.5,child
Trochus (lg),2,1638.9,380.7,child
Lambis,11,895.5,91.6,child
Cypraea,2,852.3,183.4,child
Strombus,3,747.8,186.1,child
Tridacna crocea,3,257.3,127.7,child
