study,outcome,id,sex,age,age_error,age_sd,age_lower,age_upper,resource,units,raw_return,raw_sd,adult_return,adult_sd,adult_se
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_1,0.46153846153846156,5,none,NA,NA,NA,game,kcal/h,611.4285714285713,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_2,0.46153846153846156,5,none,NA,NA,NA,game,kcal/h,674.2857142857142,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_3,0.46153846153846156,6,none,NA,NA,NA,game,kcal/h,674.2857142857142,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_4,0.46153846153846156,6,none,NA,NA,NA,game,kcal/h,151.42857142857133,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_5,0.46153846153846156,7,none,NA,NA,NA,game,kcal/h,225.7142857142856,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_6,0.46153846153846156,7,none,NA,NA,NA,game,kcal/h,0,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_7,0.46153846153846156,7,none,NA,NA,NA,game,kcal/h,439.99999999999983,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_8,0.46153846153846156,7,none,NA,NA,NA,game,kcal/h,951.4285714285713,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_9,0.46153846153846156,8,none,NA,NA,NA,game,kcal/h,425.7142857142856,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_10,0.46153846153846156,8,none,NA,NA,NA,game,kcal/h,0,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_11,0.46153846153846156,10,none,NA,NA,NA,game,kcal/h,0,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_12,0.46153846153846156,10,none,NA,NA,NA,game,kcal/h,511.4285714285713,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_13,0.46153846153846156,10,none,NA,NA,NA,game,kcal/h,700,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_14,0.46153846153846156,11,none,NA,NA,NA,game,kcal/h,800,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_15,0.46153846153846156,11,none,NA,NA,NA,game,kcal/h,417.14285714285694,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_16,0.46153846153846156,11,none,NA,NA,NA,game,kcal/h,0,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_17,0.46153846153846156,12,none,NA,NA,NA,game,kcal/h,1054.2857142857142,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_18,0.46153846153846156,12,none,NA,NA,NA,game,kcal/h,445.7142857142855,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_19,0.46153846153846156,13,none,NA,NA,NA,game,kcal/h,497.14285714285705,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_20,0.46153846153846156,13,none,NA,NA,NA,game,kcal/h,334.2857142857143,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_21,0.46153846153846156,14,none,NA,NA,NA,game,kcal/h,728.5714285714284,NA,1102.1,3164.687148834779,276.5
Bird_2005,Bird_2005_fig6.2,Bird_2005_fig6.2_22,0.46153846153846156,13,none,NA,NA,NA,game,kcal/h,851.4285714285713,NA,1102.1,3164.687148834779,276.5
