study,outcome,id,sex,age,age_error,age_sd,age_lower,age_upper,resource,units,raw_return,raw_sd,adult_return,adult_sd,adult_se
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_1,both,4,NA,NA,NA,NA,fish,net kcal/hr,-511.87739463601537,NA,75.07002801120441,371.71335170753196,71.53626788990721
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_2,both,6,NA,NA,NA,NA,fish,net kcal/hr,-435.24904214559393,NA,75.07002801120441,371.71335170753196,71.53626788990721
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_3,both,8,NA,NA,NA,NA,fish,net kcal/hr,-481.2260536398468,NA,75.07002801120441,371.71335170753196,71.53626788990721
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_4,both,11,NA,NA,NA,NA,fish,net kcal/hr,-477.3946360153257,NA,75.07002801120441,371.71335170753196,71.53626788990721
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_5,both,12,NA,NA,NA,NA,fish,net kcal/hr,-508.04597701149424,NA,75.07002801120441,371.71335170753196,71.53626788990721
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_6,both,13,NA,NA,NA,NA,fish,net kcal/hr,-477.3946360153257,NA,75.07002801120441,371.71335170753196,71.53626788990721
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_7,both,14,NA,NA,NA,NA,fish,net kcal/hr,-504.21455938697324,NA,75.07002801120441,371.71335170753196,71.53626788990721
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_8,both,12,NA,NA,NA,NA,fish,net kcal/hr,-236.0153256704981,NA,75.07002801120441,371.71335170753196,71.53626788990721
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_9,both,12,NA,NA,NA,NA,fish,net kcal/hr,-105.74712643678163,NA,75.07002801120441,371.71335170753196,71.53626788990721
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_10,both,15,NA,NA,NA,NA,fish,net kcal/hr,-52.107279693486475,NA,75.07002801120441,371.71335170753196,71.53626788990721
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_11,both,18,NA,NA,NA,NA,fish,net kcal/hr,16.858237547892827,NA,75.07002801120441,371.71335170753196,71.53626788990721
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_12,both,11,NA,NA,NA,NA,fish,net kcal/hr,24.52107279693496,NA,75.07002801120441,371.71335170753196,71.53626788990721
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_13,both,11,NA,NA,NA,NA,fish,net kcal/hr,262.0689655172414,NA,75.07002801120441,371.71335170753196,71.53626788990721
BliegeBird_2002a,BliegeBird_2002a_fig1b,BliegeBird_2002a_fig1b_14,both,11,NA,NA,NA,NA,fish,net kcal/hr,334.8659003831417,NA,75.07002801120441,371.71335170753196,71.53626788990721
