study,outcome,id,sex,age,age_error,age_sd,age_lower,age_upper,resource,units,raw_return,raw_sd,adult_return,adult_sd,adult_se
BlurtonJones_1989,BlurtonJones_1989_table2_tubers,BlurtonJones_1989_table2_1,both,1.75,NA,NA,NA,NA,tubers,g/h,23,NA,1400.6666666666667,309.6441890453038,79.9497858281575
BlurtonJones_1989,BlurtonJones_1989_table2_fruit,BlurtonJones_1989_table2_1,both,1.75,NA,NA,NA,NA,fruit,g/h,0,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_table2_fruit,BlurtonJones_1989_table2_2,both,2.5,NA,NA,NA,NA,fruit,g/h,0,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_table2_fruit,BlurtonJones_1989_table2_3,both,2.5,NA,NA,NA,NA,fruit,g/h,351,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_table2_fruit,BlurtonJones_1989_table2_4,both,3,NA,NA,NA,NA,fruit,g/h,661,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_table2_fruit,BlurtonJones_1989_table2_5,both,4.5,NA,NA,NA,NA,fruit,g/h,247,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_table2_tubers,BlurtonJones_1989_table2_6,both,5.5,NA,NA,NA,NA,tubers,g/h,205,NA,1400.6666666666667,309.6441890453038,79.9497858281575
BlurtonJones_1989,BlurtonJones_1989_table2_fruit,BlurtonJones_1989_table2_6,both,5.5,NA,NA,NA,NA,fruit,g/h,451,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_table2_tubers,BlurtonJones_1989_table2_7,both,7,NA,NA,NA,NA,tubers,g/h,160,NA,1400.6666666666667,309.6441890453038,79.9497858281575
BlurtonJones_1989,BlurtonJones_1989_table2_fruit,BlurtonJones_1989_table2_7,both,7,NA,NA,NA,NA,fruit,g/h,712,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_table2_tubers,BlurtonJones_1989_table2_8,both,8,NA,NA,NA,NA,tubers,g/h,221,NA,1400.6666666666667,309.6441890453038,79.9497858281575
BlurtonJones_1989,BlurtonJones_1989_table2_fruit,BlurtonJones_1989_table2_8,both,8,NA,NA,NA,NA,fruit,g/h,741,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_table2_fruit,BlurtonJones_1989_table2_9,both,8,NA,NA,NA,NA,fruit,g/h,721,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_table2_tubers,BlurtonJones_1989_table2_10,both,9,NA,NA,NA,NA,tubers,g/h,392,NA,1400.6666666666667,309.6441890453038,79.9497858281575
BlurtonJones_1989,BlurtonJones_1989_table2_fruit,BlurtonJones_1989_table2_10,both,9,NA,NA,NA,NA,fruit,g/h,415,NA,1934,NA,NA
BlurtonJones_1989,BlurtonJones_1989_table2_tubers,BlurtonJones_1989_table2_11,both,10,NA,NA,NA,NA,tubers,g/h,414,NA,1400.6666666666667,309.6441890453038,79.9497858281575
