study,outcome,id,sex,age,age_error,age_sd,age_lower,age_upper,resource,units,raw_return,raw_sd,adult_return,adult_sd,adult_se
BlurtonJones_1997,BlurtonJones_1997_Figure_2,BlurtonJones_1997_Figure_2__1,0.3709677,1.9999999999999978,NA,NA,NA,NA,tubers,kcal/h,0,NA,NA,NA,NA
BlurtonJones_1997,BlurtonJones_1997_Figure_2,BlurtonJones_1997_Figure_2__2,0.3709677,2.991568296795951,NA,NA,NA,NA,tubers,kcal/h,0,NA,NA,NA,NA
BlurtonJones_1997,BlurtonJones_1997_Figure_2,BlurtonJones_1997_Figure_2__3,0.3709677,3.51096121416526,NA,NA,NA,NA,tubers,kcal/h,27.85515320334298,NA,NA,NA,NA
BlurtonJones_1997,BlurtonJones_1997_Figure_2,BlurtonJones_1997_Figure_2__4,0.3709677,4.006745362563238,NA,NA,NA,NA,tubers,kcal/h,0,NA,NA,NA,NA
BlurtonJones_1997,BlurtonJones_1997_Figure_2,BlurtonJones_1997_Figure_2__5,0.3709677,5.021922428330523,NA,NA,NA,NA,tubers,kcal/h,0,NA,NA,NA,NA
BlurtonJones_1997,BlurtonJones_1997_Figure_2,BlurtonJones_1997_Figure_2__6,0.3709677,5.021922428330523,NA,NA,NA,NA,tubers,kcal/h,89.13649025069685,NA,NA,NA,NA
BlurtonJones_1997,BlurtonJones_1997_Figure_2,BlurtonJones_1997_Figure_2__7,0.3709677,5.021922428330523,NA,NA,NA,NA,tubers,kcal/h,206.12813370473577,NA,NA,NA,NA
BlurtonJones_1997,BlurtonJones_1997_Figure_2,BlurtonJones_1997_Figure_2__8,0.3709677,6.013490725126475,NA,NA,NA,NA,tubers,kcal/h,0,NA,NA,NA,NA
BlurtonJones_1997,BlurtonJones_1997_Figure_2,BlurtonJones_1997_Figure_2__9,0.3709677,7.052276559865092,NA,NA,NA,NA,tubers,kcal/h,133.70473537604516,NA,NA,NA,NA
BlurtonJones_1997,BlurtonJones_1997_Figure_2,BlurtonJones_1997_Figure_2__10,0.3709677,7.028667790893761,NA,NA,NA,NA,tubers,kcal/h,256.26740947075245,NA,NA,NA,NA
BlurtonJones_1997,BlurtonJones_1997_Figure_2,BlurtonJones_1997_Figure_2__11,0.3709677,8.232715008431702,NA,NA,NA,NA,tubers,kcal/h,66.8523676880227,NA,NA,NA,NA
BlurtonJones_1997,BlurtonJones_1997_Figure_2,BlurtonJones_1997_Figure_2__12,0.3709677,8.232715008431702,NA,NA,NA,NA,tubers,kcal/h,155.98885793871932,NA,NA,NA,NA
BlurtonJones_1997,BlurtonJones_1997_Figure_2,BlurtonJones_1997_Figure_2__13,0.3709677,8.232715008431702,NA,NA,NA,NA,tubers,kcal/h,206.12813370473577,NA,NA,NA,NA
BlurtonJones_1997,BlurtonJones_1997_Figure_2,BlurtonJones_1997_Figure_2__14,0.3709677,9.035413153456998,NA,NA,NA,NA,tubers,kcal/h,89.13649025069685,NA,NA,NA,NA
