study,outcome,id,sex,age,age_error,age_sd,age_lower,age_upper,resource,units,raw_return,raw_sd,adult_return,adult_sd,adult_se
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_,female,5,NA,NA,NA,NA,fish,kcal/h,40.960000000000036,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_,female,6,NA,NA,NA,NA,fish,kcal/h,55.040000000000035,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_,female,8,NA,NA,NA,NA,fish,kcal/h,37.12000000000003,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_,female,8,NA,NA,NA,NA,fish,kcal/h,65.28000000000003,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_,female,9,NA,NA,NA,NA,fish,kcal/h,7.680000000000035,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_,female,10,NA,NA,NA,NA,fish,kcal/h,77.22666666666669,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_,female,10,NA,NA,NA,NA,fish,kcal/h,90.45333333333335,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_,female,11,NA,NA,NA,NA,fish,kcal/h,78.93333333333337,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_,female,11,NA,NA,NA,NA,fish,kcal/h,37.54666666666671,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_,female,11,NA,NA,NA,NA,fish,kcal/h,123.73333333333338,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_,female,12,NA,NA,NA,NA,fish,kcal/h,159.57333333333338,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_,female,14,NA,NA,NA,NA,fish,kcal/h,128.00000000000006,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_,female,14,NA,NA,NA,NA,fish,kcal/h,107.09333333333336,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_,female,14,NA,NA,NA,NA,fish,kcal/h,60.16000000000004,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_,female,14,NA,NA,NA,NA,fish,kcal/h,48.21333333333335,NA,NA,NA,NA
Bock_2005,Bock_2005_fig5.2,Bock_2005_fig5.2_,female,16,NA,NA,NA,NA,fish,kcal/h,0,NA,NA,NA,NA
