study,outcome,id,sex,age,age_error,age_sd,age_lower,age_upper,resource,units,raw_return,raw_sd,adult_return,adult_sd,adult_se
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m1,male,3,NA,NA,NA,NA,mixed,kcal/day,485.57692307692344,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m2,male,6,NA,NA,NA,NA,mixed,kcal/day,980.7692307692315,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m3,male,9,NA,NA,NA,NA,mixed,kcal/day,38.46153846153891,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m4,male,10,NA,NA,NA,NA,mixed,kcal/day,413.4615384615388,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m5,male,11,NA,NA,NA,NA,mixed,kcal/day,192.30769230769272,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m6,male,12,NA,NA,NA,NA,mixed,kcal/day,9.615384615384983,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m7,male,13,NA,NA,NA,NA,mixed,kcal/day,86.538461538462,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m8,male,13,NA,NA,NA,NA,mixed,kcal/day,153.84615384615438,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m9,male,10,NA,NA,NA,NA,mixed,kcal/day,629.8076923076927,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m10,male,11,NA,NA,NA,NA,mixed,kcal/day,596.1538461538465,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m11,male,12,NA,NA,NA,NA,mixed,kcal/day,899.038461538462,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m12,male,10,NA,NA,NA,NA,mixed,kcal/day,1365.3846153846157,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m13,male,14,NA,NA,NA,NA,mixed,kcal/day,677.884615384616,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m14,male,17,NA,NA,NA,NA,mixed,kcal/day,951.9230769230772,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m15,male,5,NA,NA,NA,NA,mixed,kcal/day,245.19230769230808,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m16,male,5,NA,NA,NA,NA,mixed,kcal/day,581.7307692307696,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m17,male,5,NA,NA,NA,NA,mixed,kcal/day,9.615384615384983,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m18,male,6,NA,NA,NA,NA,mixed,kcal/day,28.846153846154266,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m19,male,6,NA,NA,NA,NA,mixed,kcal/day,110.57692307692355,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m20,male,6,NA,NA,NA,NA,mixed,kcal/day,115.38461538461593,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m21,male,8,NA,NA,NA,NA,mixed,kcal/day,134.6153846153852,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m22,male,9,NA,NA,NA,NA,mixed,kcal/day,264.42307692307736,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m23,male,10,NA,NA,NA,NA,mixed,kcal/day,557.6923076923082,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m24,male,9,NA,NA,NA,NA,mixed,kcal/day,586.5384615384622,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m25,male,8,NA,NA,NA,NA,mixed,kcal/day,735.5769230769237,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m26,male,5,NA,NA,NA,NA,mixed,kcal/day,951.9230769230772,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m27,male,6,NA,NA,NA,NA,mixed,kcal/day,1033.6538461538466,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m28,male,7,NA,NA,NA,NA,mixed,kcal/day,1346.1538461538462,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m29,male,10,NA,NA,NA,NA,mixed,kcal/day,1139.4230769230771,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m30,male,17,NA,NA,NA,NA,mixed,kcal/day,471.15384615384664,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m31,male,16,NA,NA,NA,NA,mixed,kcal/day,370.1923076923082,NA,NA,NA,NA
Crittenden_2013,Crittenden_2013_Fig_3,Crittenden_2013_Fig_3_m32,male,16,NA,NA,NA,NA,mixed,kcal/day,317.3076923076927,NA,NA,NA,NA
