Forager,Age,"Sex: 1 = male, 2 = female",Average kcal collected per foraging day,Daily energy requirements,N of days foraged
1,3,1,480,1324-1485,4
2,5,2,253,1379-1557,4
3,5,2,9,1379-1557,1
4,5,2,958,1379-1557,4
5,5,2,588,1379-1557,10
6,6,2,125,1451-1642,3
7,6,2,113,1451-1642,6
8,6,2,27,1451-1642,1
9,6,2,1035,1451-1642,18
10,6,1,987,1535-1742,4
11,7,2,1345,1515-1719,7
12,8,2,136,1593-1810,11
13,8,2,737,1593-1810,23
14,9,1,37,1787-2043,1
15,9,2,267,1660-1890,31
16,9,2,587,1660-1890,28
17,10,1,1363,1875-2149,10
18,10,1,632,1875-2149,23
19,10,2,560,1729-1972,31
20,10,1,415,1875-2149,36
21,10,2,1139,1729-1972,40
22,11,1,598,1985-2279,13
23,11,1,190,1985-2279,45
24,12,1,910,2113-2428,17
25,12,1,11,2113-2428,1
26,13,1,93,2276-2618,1
27,13,1,151,2276-2618,19
28,14,1,677,2459-2829,28
29,14,2,363,2036-2334,12
30,15,2,418,2057-2362,3
31,16,2,369,2059-2368,5
32,16,2,324,2059-2368,14
33,17,1,952,2796-3226,13
34,17,2,472,2042-2053,12
