,2005,2017
Type of Food % of kcals foraged Foraged,% of kcals foraged ,% of kcals foraged 
,Entire Sample ,Entire Sample 
Baobab ,20.66%,33.89%
Berries ,13.44%,12.71%
Birds ,16.12%,3.17%
Boar ,0.00%,8.80%
Dik-Dik ,0.00%,5.28%
Drupes ,4.75%,0.00%
Figs ,25.52%,0.00%
Galago ,0.00%,0.78%
Hare ,0.00%,1.17%
Hedgehog ,0.50%,0.00%
Honey ,9.19%,0.00%
Hyrax ,0.00%,27.28%
Legumes ,0.11%,0.00%
Mice ,2.59%,0.00%
Serval cat ,0.10%,4.69%
Shrew ,0.18%,0.00%
Squirrel ,0.00%,2.23%
Tubers ,6.83%,0.00%
,Males,Males
Baobab ,17.54%,35.23%
Berries ,4.17%,0.00%
Birds ,38.46%,3.84%
Boar ,0.00%,10.67%
Dik-Dik ,0.00%,6.40%
Figs ,1.74%,0.00%
Galago ,0.00%,0.94%
Hare ,0.00%,1.42%
Hedgehog ,1.49%,0.00%
Honey ,27.24%,0.00%
Hyrax ,0.00%,33.09%
Mice ,6.84%,0.00%
Serval cat ,0.31%,5.69%
Shrew ,0.54%,0.00%
Squirrel ,0.00%,2.70%
Tubers ,1.68%,0.00%
,Females,Females
Baobab ,22.24%,27.64%
Berries ,18.15%,72.36%
Birds ,4.76%,0.00%
Drupes ,7.17%,0.00%
Figs ,37.62%,0.00%
Legumes ,0.17%,0.00%
Mice ,0.43%,0.00%
Tubers ,9.46%,0.00%
