study,outcome,id,sex,age,age_error,age_sd,age_lower,age_upper,resource,units,raw_return,raw_sd,adult_return,adult_sd,adult_se
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m1,male,NA,NA,NA,6,11,mixed,net kcal/h,261.19402985074703,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m2,male,NA,NA,NA,6,11,mixed,net kcal/h,55.970149253732416,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m2,male,NA,NA,NA,6,11,mixed,net kcal/h,111.94029850746392,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m2,male,NA,NA,NA,6,11,mixed,net kcal/h,205.22388059701552,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m2,male,NA,NA,NA,6,11,mixed,net kcal/h,279.85074626865753,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m3,male,NA,NA,NA,6,11,mixed,net kcal/h,485.07462686567214,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m3,male,NA,NA,NA,6,11,mixed,net kcal/h,559.7014925373132,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m3,male,NA,NA,NA,6,11,mixed,net kcal/h,1026.1194029850749,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m4,male,NA,NA,NA,6,11,mixed,net kcal/h,0,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m4,male,NA,NA,NA,6,11,mixed,net kcal/h,223.88059701492602,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m4,male,NA,NA,NA,6,11,mixed,net kcal/h,279.85074626865753,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m4,male,NA,NA,NA,6,11,mixed,net kcal/h,354.47761194029863,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m4,male,NA,NA,NA,6,11,mixed,net kcal/h,447.76119402985296,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m4,male,NA,NA,NA,6,11,mixed,net kcal/h,503.73134328358447,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m4,male,NA,NA,NA,6,11,mixed,net kcal/h,597.0149253731352,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m4,male,NA,NA,NA,6,11,mixed,net kcal/h,708.9552238805982,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m4,male,NA,NA,NA,6,11,mixed,net kcal/h,1082.0895522388064,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m5,male,NA,NA,NA,12,19,mixed,net kcal/h,485.07462686567214,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m5,male,NA,NA,NA,12,19,mixed,net kcal/h,559.7014925373132,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m5,male,NA,NA,NA,12,19,mixed,net kcal/h,634.3283582089562,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m5,male,NA,NA,NA,12,19,mixed,net kcal/h,820.8955223880603,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m5,male,NA,NA,NA,12,19,mixed,net kcal/h,951.4925373134329,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m5,male,NA,NA,NA,12,19,mixed,net kcal/h,1007.4626865671644,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m5,male,NA,NA,NA,12,19,mixed,net kcal/h,1044.7761194029872,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m6,male,NA,NA,NA,12,19,mixed,net kcal/h,820.8955223880603,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m6,male,NA,NA,NA,12,19,mixed,net kcal/h,2723.880597014925,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m7,male,NA,NA,NA,12,19,mixed,net kcal/h,820.8955223880603,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_m7,male,NA,NA,NA,12,19,mixed,net kcal/h,2723.880597014925,NA,1543.84328358209,1120.282473363733,323.39769378248553
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_f1,female,NA,NA,NA,6,11,mixed,net kcal/h,150.37593984962405,NA,1681.6078658183912,462.25669649203803,128.20694012527986
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_f1,female,NA,NA,NA,6,11,mixed,net kcal/h,281.95488721804304,NA,1681.6078658183912,462.25669649203803,128.20694012527986
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_f1,female,NA,NA,NA,6,11,mixed,net kcal/h,488.7218045112777,NA,1681.6078658183912,462.25669649203803,128.20694012527986
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_f1,female,NA,NA,NA,6,11,mixed,net kcal/h,563.9097744360897,NA,1681.6078658183912,462.25669649203803,128.20694012527986
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_f1,female,NA,NA,NA,6,11,mixed,net kcal/h,657.894736842105,NA,1681.6078658183912,462.25669649203803,128.20694012527986
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_f1,female,NA,NA,NA,6,11,mixed,net kcal/h,733.0827067669161,NA,1681.6078658183912,462.25669649203803,128.20694012527986
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_f1,female,NA,NA,NA,6,11,mixed,net kcal/h,808.2706766917281,NA,1681.6078658183912,462.25669649203803,128.20694012527986
Tucker_2005,Tucker_2005_2003_returns,Tucker_2005_2003_returns_f1,female,NA,NA,NA,6,11,mixed,net kcal/h,902.2556390977443,NA,1681.6078658183912,462.25669649203803,128.20694012527986
