"","study","outcome","id","sex","age","age_error","age_sd","age_lower","age_upper","resource","units","raw_return","raw_sd","adult_return","adult_sd","adult_se"
"1","Bird_2002b","Bird_2002b_table2_Hippopus",NA,"0.457142857142857",NA,"interval",NA,5,15,"shellfish","item/h",1.02,1.36069835011291,6.73,11.0376039066457,1.61
"2","Bird_2002b","Bird_2002b_table2_Tridacna spp.",NA,"0.457142857142857",NA,"interval",NA,5,15,"shellfish","item/h",0.8,1.65650233926789,2.15,3.56494039220854,0.52
"3","Bird_2002b","Bird_2002b_table2_Trochus (lg)",NA,"0.457142857142857",NA,"interval",NA,5,15,"shellfish","item/h",0.2,0.709929573971954,0.2,3.56494039220854,0.52
"4","Bird_2002b","Bird_2002b_table2_Lambis",NA,"0.457142857142857",NA,"interval",NA,5,15,"shellfish","item/h",7.24,6.68517015490257,19.6,18.9901632431109,2.77
"5","Bird_2002b","Bird_2002b_table2_Cypraea",NA,"0.457142857142857",NA,"interval",NA,5,15,"shellfish","item/h",0.71,3.43132627419778,2.65,9.32369025654542,1.36
"6","Bird_2002b","Bird_2002b_table2_Trochus (sm)",NA,"0.457142857142857",NA,"interval",NA,5,15,"shellfish","item/h",0.61,1.41985914794391,0,0,0
"7","Bird_2002b","Bird_2002b_table2_Strombus",NA,"0.457142857142857",NA,"interval",NA,5,15,"shellfish","item/h",4,6.03440137876161,1.56,4.25050585224865,0.62
"8","Bird_2002b","Bird_2002b_table2_Trid. crocea",NA,"0.457142857142857",NA,"interval",NA,5,15,"shellfish","item/h",0.08,0.295803989154981,0.02,0.137113092008021,0.02
"9","Bird_2002b","Bird_2002b_table2_Trid. gigas",NA,"0.457142857142857",NA,"interval",NA,5,15,"shellfish","item/h",0,0,0.34,1.3025743740762,0.19
"10","Bird_2002b","Bird_2002b_table3_Hippopus",NA,"0.457142857142857",NA,"interval",NA,5,15,"shellfish","kcal/h",3106.2,2466.09393981657,6858.9,2705.56167920822,464
"11","Bird_2002b","Bird_2002b_table3_Tridacna spp.",NA,"0.457142857142857",NA,"interval",NA,5,15,"shellfish","kcal/h",1652,427.5,4534.2,2704.4,676.1
"12","Bird_2002b","Bird_2002b_table3_Trochus (lg)",NA,"0.457142857142857",NA,"interval",NA,5,15,"shellfish","kcal/h",1638.9,538.391103195437,3904,933.6,466.8
"13","Bird_2002b","Bird_2002b_table3_Lambis",NA,"0.457142857142857",NA,"interval",NA,5,15,"shellfish","kcal/h",895.5,303.802830796555,3411.9,986.022961193095,205.6
"14","Bird_2002b","Bird_2002b_table3_Cypraea",NA,"0.457142857142857",NA,"interval",NA,5,15,"shellfish","kcal/h",852.3,259.366767339226,2214.4,414.306553170475,239.2
"15","Bird_2002b","Bird_2002b_table3_Tridacna crocea",NA,"0.457142857142857",NA,"interval",NA,5,15,"shellfish","kcal/h",257.3,221.182888126546,763.7,106.066017177982,75
"16","Bird_2002b","Bird_2002b_table3_Strombus",NA,"0.457142857142857",NA,"interval",NA,5,15,"shellfish","kcal/h",747.8,322.334655288568,534.6,205.594430858426,118.7
"17","Bird_2005","Bird_2005_fig6.2","Bird_2005_fig6.2_1","0.461538461538462",5,"none",NA,NA,NA,"game","kcal/h",611.428571428571,NA,1102.1,3164.68714883478,276.5
"18","Bird_2005","Bird_2005_fig6.2","Bird_2005_fig6.2_2","0.461538461538462",5,"none",NA,NA,NA,"game","kcal/h",674.285714285714,NA,1102.1,3164.68714883478,276.5
"19","Bird_2005","Bird_2005_fig6.2","Bird_2005_fig6.2_3","0.461538461538462",6,"none",NA,NA,NA,"game","kcal/h",674.285714285714,NA,1102.1,3164.68714883478,276.5
"20","Bird_2005","Bird_2005_fig6.2","Bird_2005_fig6.2_4","0.461538461538462",6,"none",NA,NA,NA,"game","kcal/h",151.428571428571,NA,1102.1,3164.68714883478,276.5
"21","Bird_2005","Bird_2005_fig6.2","Bird_2005_fig6.2_5","0.461538461538462",7,"none",NA,NA,NA,"game","kcal/h",225.714285714286,NA,1102.1,3164.68714883478,276.5
"22","Bird_2005","Bird_2005_fig6.2","Bird_2005_fig6.2_6","0.461538461538462",7,"none",NA,NA,NA,"game","kcal/h",0,NA,1102.1,3164.68714883478,276.5
