Population,Code_data,First_author,Title,Year,Year_collection,Data_type,Children_focus,Sexes,Resource_type,Age_sampled,Sample_size_tot,Sample_size_children,N_studies_per_population,Long,Lat,origin_location,Method
Ache,Walker_2002,"Walker, R",Age-dependency in hunting ability,2002,"1981-1982,1997-1998,2000-2001",g/h,no,yes (m),game,>12,78,NA,1,-55.496111,-24.128724,Koster_2020,"Trekking data include information gained from a combination of both focal follows of individual hunters, end-of-day interviews of the day’s activities, and game weights of all animals killed on a particular day. [11 young hunters] keep a daily log in a notebook of their hunting activities. This log includes foraging time start and end and a description of every resource encounter, i.e., who found the resource, who participates in the pursuit, and if the resource is harvested and by whom."
Ache,Koster_2020,Hill and Kintigh,cchunts,ACH,Paraguay,kg/day,no,yes (m),game,NA,NA,NA,1,-55.496111,-24.128724,Koster_2020,NA
Agta,Koster_2020,Headland,cchunts,AGT,Philippines,kg/day,no,yes (m),game,NA,NA,NA,1,122.151075,16.228097,Koster_2020,NA
Baka,Hagino_2016,"Hagino, I",High Motivation and Low Gain: Food Procurement from Rainforest Foraging by Baka Hunter-Gatherer Children,2016,2012,other,yes,no,general,2-adult,22,14,3,13.61975,3.157669,Koster_2020,"All foods brought back to the camp were identified and weighed using a digital kitchen scale (Tanita KD-160, Japan) and a digital scale (TanitaTF-205, Japan). Animals were identified with the aid of Kingdon’s book (1997). Energy and protein values were calculated using the African food composition table (Leung 1968) and the Standard Tables of Food Composition in Japan (Ministry of Education et al. 2005)."
Baka,Koster_2020,Gallois,cchunts,BK1,Cameroon,kg/day,no,yes (m),game,NA,NA,NA,3,13.61975,3.157669,Koster_2020,NA
Baka,Koster_2020,Duda,cchunts,BK2,Cameroon,kg/day,no,yes (m),game,NA,NA,NA,3,14.076825,3.119432,Koster_2020,NA
Bari,Koster_2020,Beckerman,cchunts,BAR,Venezuela,kg/day,no,yes (m),game,NA,NA,NA,1,-72.944021,9.674323,Koster_2020,NA
Batek,Koster_2020,Venkataraman,cchunts,BTK,Malaysia,kg/day,no,yes (m),game,NA,NA,NA,1,102.4128835,4.950947708,Koster_2020,NA
Bofi and Aka,Koster_2020,Lupo and Schmitt,cchunts,BFA,Central African Republic,kg/day,no,yes (m),game,NA,NA,NA,1,17.070437,3.762144,Koster_2020,NA
Cree,Koster_2020,Winterhalder,cchunts,CRE,Canada,kg/day,no,yes (m),game,NA,NA,NA,1,-91.782782,53.403671,Koster_2020,NA
